X,mean,MOEA_D,VSD_MOEA_D
1,50,0.906531667210782,0.973587807329957
2,100,0.861077212086804,0.962200838213739
3,250,0.779378780513739,0.947452278044696
4,500,0.70160945054613,0.938737997223043
