X,mean,HV2obj,HV3obj
1,0.0,0.8730,0.8680
2,0.1,0.9475,0.9105
3,0.2,0.9726,0.9254
4,0.3,0.9745,0.9285
5,0.4,0.9757,0.9314
6,0.5,0.9767,0.9313
7,0.6,0.9769,0.9317
8,0.7,0.9764,0.9316
9,0.8,0.9760,0.9309
10,0.9,0.9760,0.9301
11,1.0,0.9756,0.9294
